ID,mushroom_id,cap-shape,cap-surface,cap-color,bruises,number_of_bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
1,0,convex,smooth,brown,bruises,7,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,p
2,1,convex,smooth,yellow,bruises,20,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
3,3,convex,scaly,white,bruises,11,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,p
4,4,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
5,5,convex,scaly,yellow,bruises,8,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
6,8,convex,scaly,white,bruises,19,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
7,10,convex,scaly,yellow,bruises,11,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
8,12,bell,smooth,yellow,bruises,24,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
9,13,convex,scaly,white,bruises,21,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
10,14,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
11,15,sunken,fibrous,gray,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
12,16,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
13,17,convex,smooth,brown,bruises,4,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
14,18,convex,scaly,white,bruises,8,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
15,19,convex,smooth,brown,bruises,24,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
16,21,convex,scaly,brown,bruises,22,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
17,25,flat,smooth,white,bruises,12,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
18,28,flat,fibrous,brown,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,e
19,29,convex,smooth,yellow,bruises,21,almond,gills free from stalk,crowded,narrow,brown,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
20,31,convex,scaly,white,bruises,12,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
21,33,convex,scaly,brown,bruises,12,anise,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,paths,e
22,35,convex,fibrous,yellow,bruises,10,anise,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
23,36,sunken,fibrous,gray,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,e
24,37,convex,scaly,brown,bruises,16,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
25,38,convex,fibrous,yellow,bruises,15,almond,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
26,40,bell,scaly,yellow,bruises,19,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
27,41,convex,scaly,yellow,bruises,12,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
28,42,convex,fibrous,brown,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,e
29,43,convex,scaly,white,bruises,23,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
30,45,convex,scaly,white,bruises,3,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
31,48,convex,scaly,yellow,bruises,7,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,paths,e
32,49,flat,scaly,yellow,bruises,21,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,paths,e
33,50,convex,scaly,brown,bruises,9,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,grasses,e
34,51,convex,smooth,white,bruises,7,anise,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
35,53,convex,scaly,brown,bruises,4,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
36,54,convex,smooth,white,bruises,14,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,p
37,56,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
38,57,bell,smooth,white,bruises,9,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
39,58,convex,smooth,yellow,bruises,21,anise,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
40,59,convex,scaly,brown,bruises,2,almond,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
41,60,sunken,fibrous,gray,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,e
42,64,bell,scaly,white,bruises,12,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
43,65,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
44,66,convex,smooth,white,bruises,8,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
45,67,flat,scaly,yellow,bruises,15,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,e
46,68,convex,scaly,yellow,bruises,3,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
47,69,convex,fibrous,gray,no,0,None,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,e
48,70,flat,fibrous,yellow,bruises,14,anise,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
49,72,flat,fibrous,yellow,bruises,4,anise,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
50,73,convex,scaly,brown,bruises,18,almond,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,paths,e
51,74,bell,smooth,yellow,bruises,8,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
52,75,flat,smooth,yellow,bruises,4,anise,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
53,76,convex,smooth,white,bruises,2,anise,gills free from stalk,crowded,narrow,brown,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
54,77,flat,scaly,brown,bruises,6,anise,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,paths,e
55,78,convex,scaly,brown,bruises,22,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
56,79,flat,scaly,brown,bruises,10,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,grasses,e
57,80,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
58,81,convex,scaly,white,bruises,4,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
59,82,flat,fibrous,gray,no,0,None,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
60,83,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
61,84,convex,scaly,yellow,bruises,22,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,grasses,e
62,85,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
63,86,bell,smooth,white,bruises,18,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
64,87,convex,smooth,white,bruises,12,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
65,88,flat,scaly,brown,bruises,2,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,grasses,e
66,89,sunken,fibrous,brown,no,0,None,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,e
67,90,convex,fibrous,brown,no,0,None,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
68,91,bell,smooth,white,bruises,10,anise,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
69,92,convex,scaly,yellow,bruises,4,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
70,94,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
71,95,convex,smooth,white,bruises,16,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
72,96,flat,scaly,brown,bruises,15,anise,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,e
73,97,convex,smooth,yellow,bruises,8,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
74,98,bell,smooth,white,bruises,14,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
75,99,convex,scaly,white,bruises,23,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
76,100,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
77,101,bell,smooth,yellow,bruises,8,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
78,102,flat,scaly,yellow,bruises,21,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,e
79,103,convex,scaly,yellow,bruises,16,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
80,104,bell,scaly,white,bruises,13,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
81,106,convex,scaly,yellow,bruises,15,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,grasses,e
82,110,convex,smooth,yellow,bruises,9,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
83,111,sunken,fibrous,gray,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,e
84,112,convex,fibrous,white,bruises,15,almond,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
85,114,convex,scaly,white,bruises,1,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
86,115,convex,scaly,yellow,bruises,7,anise,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,e
87,116,sunken,fibrous,gray,no,0,None,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
88,117,convex,scaly,yellow,bruises,9,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,grasses,e
89,118,convex,smooth,yellow,bruises,24,anise,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
90,119,sunken,fibrous,brown,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
91,120,convex,smooth,white,bruises,1,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
92,122,flat,scaly,brown,bruises,8,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
93,123,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
94,125,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
95,126,bell,smooth,yellow,bruises,11,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
96,127,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
97,128,convex,smooth,white,bruises,19,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
98,130,bell,smooth,white,bruises,8,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
99,132,flat,smooth,white,bruises,3,anise,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
100,134,flat,smooth,white,bruises,5,almond,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
101,135,convex,scaly,white,bruises,10,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
