PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
35900,37.0,Male,Other,Strategy,23.92940353535123,,Hard,3,124,99,18,Medium
27085,25.0,Male,,Action,22.75516807245566,1.0,Easy,14,84,84,12,Medium
39595,24.0,Female,Europe,Simulation,19.505291625353514,0.0,Hard,3,172,9,18,Medium
37440,26.0,Female,Europe,RPG,11.009644912766452,,,3,83,36,43,Low
22882,17.0,Female,USA,RPG,0.5810394039971412,1.0,Medium,5,163,9,24,Medium
29954,44.0,Male,USA,Action,8.930374944262642,,Easy,17,139,27,8,High
32780,37.0,Female,Europe,RPG,14.862291086937535,0.0,Hard,0,127,69,14,Low
22652,,Male,Europe,Action,10.965928500984438,0.0,Medium,0,148,4,29,Low
22525,,Male,USA,RPG,23.260605687767764,1.0,Easy,1,138,16,49,Low
18593,17.0,Male,Europe,Simulation,8.02093363011646,0.0,Medium,6,72,41,33,Medium
28149,37.0,Female,Europe,Sports,0.813106453705589,1.0,Easy,9,122,14,8,Medium
35417,34.0,Male,,RPG,18.82672529758755,0.0,Medium,8,163,60,15,Medium
37659,45.0,Male,USA,Sports,14.487929447582871,0.0,Medium,15,12,51,42,Low
42657,42.0,Male,Europe,Strategy,9.48958362742815,0.0,Medium,7,41,1,49,Low
30691,45.0,Female,Europe,RPG,17.70334148475757,0.0,Easy,3,66,71,12,Medium
12574,32.0,Male,Asia,Action,12.629162002458148,0.0,Easy,14,13,7,9,Low
29547,31.0,Male,USA,Strategy,0.0350113148397612,0.0,Medium,11,112,34,19,Medium
44225,25.0,Male,USA,Simulation,0.2628845769617784,0.0,Easy,4,81,89,26,Medium
30924,37.0,Male,,Strategy,2.0647335951582777,0.0,Medium,12,147,80,13,Low
11946,30.0,Male,Asia,RPG,2.4551662212212517,0.0,Easy,7,108,21,31,Medium
46887,39.0,Male,Other,Strategy,2.31367978027446,0.0,Medium,13,129,89,1,High
38795,18.0,Female,Europe,Sports,5.856335950046901,0.0,Easy,9,126,20,41,Medium
24024,16.0,Male,Asia,Simulation,4.525307860684395,0.0,Easy,9,78,60,25,Medium
38199,29.0,Male,USA,RPG,21.01808314711758,0.0,Hard,13,88,46,20,Medium
9116,46.0,Female,Asia,Action,10.825598338043754,0.0,Medium,12,142,24,18,High
24898,15.0,Male,Asia,Sports,12.376600241452042,0.0,Easy,2,100,49,43,High
40026,18.0,Male,USA,RPG,9.570220806507171,0.0,Medium,3,142,90,5,Medium
35079,15.0,Male,Asia,RPG,3.152315887975853,0.0,Medium,2,102,27,41,Low
27589,28.0,Female,USA,Strategy,6.133033204953091,0.0,Hard,8,153,83,43,High
26522,20.0,Male,Asia,RPG,9.777352711703156,1.0,,7,167,13,12,Medium
22488,26.0,Male,Europe,Action,23.347913004047232,1.0,Medium,18,33,48,45,Medium
26553,45.0,Male,USA,Strategy,11.874093797613195,0.0,Easy,7,11,28,3,Low
47016,21.0,Male,USA,RPG,22.206899026741656,0.0,Easy,15,128,72,30,High
29875,22.0,Male,USA,RPG,23.5868223900823,0.0,Hard,5,14,71,46,Low
27495,27.0,Female,Asia,Sports,9.474580230336704,0.0,Hard,13,57,33,29,Medium
25374,,Female,Asia,Strategy,8.838829184114815,0.0,Medium,14,63,34,35,Medium
41958,46.0,Male,Other,Simulation,14.038799165961748,,Medium,7,70,45,13,Medium
45187,38.0,Female,USA,Strategy,21.7329895396634,0.0,Easy,4,11,88,13,Low
14835,25.0,Female,Asia,RPG,6.795709321864737,0.0,Medium,1,46,27,40,Low
38439,48.0,Male,Europe,Sports,8.7599414015914,1.0,Medium,6,40,74,47,Medium
33969,20.0,Female,USA,Action,19.79654527113375,0.0,Medium,12,17,92,39,Medium
22920,42.0,Female,USA,RPG,2.3299977045825804,0.0,Easy,13,35,50,19,Medium
18569,38.0,Female,Other,Sports,3.637723447129102,,Easy,17,124,94,37,High
28354,39.0,Female,,Action,8.495124192842233,0.0,Medium,18,168,19,7,High
48446,41.0,Female,USA,RPG,19.958244328292334,0.0,Hard,14,32,9,2,Medium
41000,,Male,USA,Strategy,6.996367454729041,0.0,Medium,19,167,26,9,High
38360,20.0,Female,USA,Action,14.183151386818215,0.0,Easy,7,130,17,22,Medium
9187,15.0,Female,Other,Action,4.978798830139363,,Hard,16,65,74,23,Medium
22724,28.0,Male,USA,Simulation,1.0210540408750877,0.0,Medium,17,142,33,21,High
20299,30.0,Female,USA,Strategy,7.233651572126399,1.0,Hard,7,65,29,45,Medium
33895,25.0,Male,Other,RPG,19.868782507340647,0.0,Easy,5,173,50,22,Medium
13481,30.0,Male,Europe,Strategy,14.895259907448589,0.0,Easy,4,176,36,26,Low
11149,41.0,Male,Europe,Sports,8.68319573294876,1.0,Hard,8,125,31,23,Medium
22575,47.0,Male,Other,Strategy,20.93545643355508,0.0,Easy,1,48,82,3,Low
9733,22.0,Male,USA,Strategy,10.524194377288609,1.0,Medium,4,74,39,47,Medium
18459,41.0,Male,Other,Simulation,17.57989868178057,0.0,Easy,1,13,88,28,Low
34015,35.0,Female,Asia,RPG,11.828690105543105,0.0,Medium,8,12,3,45,Low
32331,32.0,Male,USA,Strategy,7.581878408772379,0.0,Medium,9,115,32,23,Medium
44938,22.0,Female,Other,Simulation,18.093009834272117,0.0,Medium,16,44,48,11,Medium
35845,38.0,Male,Europe,Action,4.114845654060606,0.0,Hard,7,17,2,24,Low
29348,41.0,Male,Asia,Simulation,23.666591831039423,0.0,Medium,18,148,40,25,High
48836,22.0,Male,Asia,Simulation,2.0605355662223355,0.0,Medium,15,142,13,32,High
27930,46.0,Female,USA,Simulation,14.641727992136287,0.0,Easy,19,82,89,17,High
45546,18.0,Male,Europe,Sports,17.28786753002423,1.0,Easy,7,119,87,41,Medium
34210,16.0,Female,Europe,RPG,12.10689111162251,0.0,Hard,1,85,78,4,Low
48023,25.0,Male,Other,Simulation,7.190868265357292,0.0,Medium,9,47,51,20,Medium
43780,48.0,Male,Europe,Simulation,16.292323847421386,0.0,Easy,14,147,31,4,Low
38765,17.0,Female,USA,RPG,9.590217192794071,0.0,Easy,18,168,5,44,High
9158,46.0,Male,Europe,Sports,12.306317179031524,1.0,Medium,11,179,91,4,High
45973,39.0,Male,Europe,RPG,22.437312064902763,0.0,Medium,16,169,80,26,High
